time,temp,rdhx
0,29,4.5
73,29,9.5
145,23.5,10
145,22,9.5
217,22,9.5
291,21.5,9.5
363,20.5,9.5
437,20.5,9.5
437,20.5,9.5
509,20.5,9.5
583,20.5,10
655,20.5,10
655,19,10
731,20.5,10
804,20.5,10
880,19,10
953,19.5,10
953,19,7
1026,19,10
1099,19,10
1174,18.5,8
1247,18.5,8
1247,19,10
1320,19,10
1393,19,10
1466,19,10
1466,19,10
1538,18.5,8
1611,19,10
1686,18.5,8
1760,18.5,8
1760,18.5,8
1833,18.5,8
1907,18.5,8
1980,18.5,8
2053,18.5,8
2053,18.5,8
2125,19,10
2199,19,10
2270,19,10
2343,19,10
2343,19,10
2417,18.5,8
2489,18.5,8
2496,19,8
2569,18.5,8
2642,19,10
2715,19,10
2787,19,10
2860,18.5,10
2936,19,10
3008,19,10
