time,Temperature,,Pressure,
s,0C,0F,psi,kPa
0,29,84.2,4,27.56
73,29,84.2,4,27.56
147,29,84.2,4,27.56
218,29,84.2,4,27.56
291,29,84.2,4,27.56
363,29,84.2,4,27.56
436,29,84.2,10,68.9
509,28.5,83.3,10,68.9
581,28.5,83.3,10,68.9
654,29,84.2,9.5,65.455
732,28.5,83.3,10,68.9
803,23,73.4,10,68.9
876,24.5,76.1,10,68.9
949,23,73.4,10,68.9
1024,23,73.4,10,68.9
1097,23,73.4,10,68.9
1170,23,73.4,10,68.9
1242,23,73.4,10,68.9
1242,23,73.4,10,68.9
1315,23,73.4,10,68.9
1390,24.5,76.1,10,68.9
1463,24.5,76.1,10,68.9
1536,26.5,79.7,10,68.9
1609,26.5,79.7,9.5,65.455
1681,28.5,83.3,10,68.9
1754,28.5,83.3,10,68.9
1827,28.5,83.3,10,68.9
1902,29,84.2,10,68.9
1975,29,84.2,9,62.01
2051,29,84.2,8.5,58.565
2123,29,84.2,8.5,58.565
2196,29,84.2,8.5,58.565
2269,29,84.2,7.5,51.675
2342,29,84.2,7.5,51.675
2415,28.5,83.3,4,27.56
2488,29,84.2,8,55.12
2560,29,84.2,7.5,51.675
2634,29,84.2,9,62.01
2705,29,84.2,8.5,58.565
2778,29,84.2,7.5,51.675
2854,29,84.2,4.5,31.005
2928,29,84.2,4.5,31.005
3000,29,84.2,4.5,31.005
