time,temp,,Pressure,
s,C,F,psi,kPa
0,29,84.2,6,41.34
74,29,84.2,8,55.12
149,29,84.2,8.5,58.565
222,29,84.2,8.5,58.565
296,29,84.2,8.5,58.565
369,29,84.2,8.5,58.565
443,29,84.2,7,48.23
516,29,84.2,10,68.9
589,27.5,81.5,9,62.01
662,27,80.6,10,68.9
735,24.5,76.1,9.5,65.455
807,24.5,76.1,10,68.9
880,24.5,76.1,10,68.9
880,23.5,74.3,10,68.9
956,22.5,72.5,8.5,58.565
1029,22.5,72.5,9.5,65.455
1103,25.5,77.9,4,27.56
1176,25.5,77.9,4,27.56
1249,25.5,77.9,4,27.56
1321,27,80.6,10,68.9
1394,29,84.2,10,68.9
1467,29,84.2,10,68.9
1539,29,84.2,10,68.9
1612,29,84.2,10,68.9
1685,27,80.6,10,68.9
1759,27,80.6,10,68.9
1832,29,84.2,10,68.9
1905,29,84.2,10,68.9
1980,29,84.2,10,68.9
2054,29,84.2,10,68.9
2129,29,84.2,10,68.9
2202,29,84.2,8.5,58.565
2202,29,84.2,7,48.23
2275,29,84.2,7,48.23
2348,29,84.2,7,48.23
2423,29,84.2,7,48.23
2496,29,84.2,7,48.23
2569,29,84.2,7,48.23
2642,29,84.2,7,48.23
2715,29,84.2,7,48.23
2787,29,84.2,7,48.23
2860,29,84.2,7,48.23
2936,29,84.2,7,48.23
